                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.89147,                0.91508,                0.69852,                0.97343,                0.80311,                0.64895,                0.72668,                0.44119,                0.77924,                0.67424,                0.73571,                0.38707,                 1.1579,                 1.0526,                  1.197,                 1.0904,               0.004555,               0.004555,               0.004555
                     24,                0.84979,                0.93313,                0.67258,                0.93568,                 0.7007,                0.72727,                0.74653,                0.48078,                0.71328,                 0.7197,                0.75236,                0.48544,                  1.109,                 1.0422,                 1.1774,                 1.0811,              0.0043075,              0.0043075,              0.0043075
                     25,                 0.8226,                0.88527,                0.67026,                0.92809,                0.66689,                   0.75,                0.74974,                0.49668,                0.86805,                0.59805,                0.74799,                0.46642,                 1.0599,                 1.0254,                 1.1167,                 1.0615,                0.00406,                0.00406,                0.00406
                     26,                0.77146,                0.97564,                0.63806,                0.92065,                 0.7297,                0.71583,                0.74392,                0.50656,                0.73673,                0.72082,                0.74995,                0.47794,                 1.0373,                0.99956,                 1.0348,                 1.0406,              0.0038125,              0.0038125,              0.0038125
                     27,                0.79938,                0.85831,                0.61916,                0.93502,                0.75596,                0.68939,                0.74917,                0.50157,                0.76544,                0.69223,                0.74105,                0.45217,                0.97905,                 1.0204,                 1.0374,                 1.0545,               0.003565,               0.003565,               0.003565
                     28,                0.73993,                0.87897,                0.60933,                 0.9251,                0.72927,                 0.7197,                 0.7626,                 0.5076,                0.71063,                0.72558,                0.75109,                0.48674,                0.98314,                 1.0293,                 1.0447,                 1.0635,              0.0033175,              0.0033175,              0.0033175
                     29,                0.72324,                0.88497,                0.60951,                0.92146,                0.70978,                0.69697,                0.74952,                0.49752,                0.82502,                0.64296,                 0.7479,                0.48752,                 1.0206,                 1.0302,                 1.0776,                 1.0638,                0.00307,                0.00307,                0.00307
                     30,                0.72751,                0.83034,                0.59647,                0.92013,                0.71805,                0.70455,                0.76683,                0.52893,                 0.7945,                0.65152,                0.76246,                0.49964,                0.98493,                 1.0598,                 1.0652,                 1.0649,              0.0028225,              0.0028225,              0.0028225
                     31,                0.71022,                0.84159,                0.54992,                0.91496,                0.77161,                0.66545,                0.77439,                0.53553,                 0.8083,                0.63636,                0.76633,                0.48366,                 1.0147,                 1.0763,                 1.0606,                 1.0842,               0.002575,               0.002575,               0.002575
                     32,                0.71706,                 0.8983,                0.56641,                0.91315,                0.78055,                0.66667,                0.76755,                0.52794,                0.79186,                0.66292,                0.76334,                0.48201,                 1.0383,                 1.0852,                 1.0683,                 1.1031,              0.0023275,              0.0023275,              0.0023275
                     33,                0.71474,                0.83777,                 0.5551,                0.90111,                0.71118,                0.72753,                0.76267,                0.53708,                0.82762,                0.65471,                0.75976,                 0.4855,                0.99273,                 1.0708,                 1.0618,                 1.0979,                0.00208,                0.00208,                0.00208
                     34,                0.67145,                0.77804,                0.52705,                0.90454,                0.70994,                0.72315,                 0.7543,                0.53471,                0.81932,                0.66667,                0.76615,                0.47917,                0.98627,                 1.0756,                 1.0618,                 1.1001,              0.0018325,              0.0018325,              0.0018325
                     35,                 0.6561,                0.83531,                0.51037,                0.88901,                0.76589,                0.71212,                0.76123,                0.53447,                0.79939,                0.68182,                0.75844,                0.50112,                0.96501,                 1.0957,                 1.0888,                 1.0718,               0.001585,               0.001585,               0.001585
                     36,                0.66154,                0.80436,                0.53518,                0.90059,                0.78272,                0.67424,                0.76367,                0.53691,                0.79151,                0.68182,                0.75174,                0.49149,                0.95331,                 1.0834,                 1.0476,                 1.0759,              0.0013375,              0.0013375,              0.0013375
                     37,                0.64507,                0.74746,                  0.487,                0.90201,                0.74637,                0.69113,                0.75871,                0.54143,                 0.7864,                 0.6694,                0.73991,                0.48978,                0.94874,                 1.0553,                 1.0375,                 1.0856,                0.00109,                0.00109,                0.00109
                     38,                0.61961,                0.74655,                0.48732,                0.89281,                0.75698,                0.69697,                0.76832,                0.54545,                0.82004,                0.67424,                0.75507,                0.50117,                0.92741,                 1.0514,                 1.0269,                 1.0737,              0.0008425,              0.0008425,              0.0008425
                     39,                0.62536,                0.78301,                0.49294,                0.88446,                0.74337,                0.71212,                0.76904,                0.54499,                0.74337,                0.71212,                0.75653,                0.49838,                0.92342,                 1.0482,                 1.0225,                 1.0675,               0.000595,               0.000595,               0.000595
